CODIGO;MODELO;DESCRIÇÃO;QUANTIDADE
60010001;VEGA C500P2;EXPOSITOR CERVEJEIRA VEGA C500P2 PORTA DE VIDRO PERFIL PVC 500L - PRETO - 220V;38
60010002;VEGA C500B2;EXPOSITOR CERVEJEIRA VEGA C500B2 PORTA DE VIDRO PERFIL PVC 500L - BRANCO - 220V;6
60010003;VEGA C500P1;EXPOSITOR CERVEJEIRA VEGA C500P1 PORTA DE VIDRO PERFIL PVC 500 L- PRETO - 127V;10
60010004;VEGA C500B1;EXPOSITOR CERVEJEIRA VEGA C500B1 PORTA DE VIDRO PERFIL PVC 500L - BRANCO - 127V;2
60010005;VEGA R500P2;EXPOSITOR REFRIGERADOR VEGA R500P2 ALL BLACK PORTA DE VIDRO PERFIL PVC 500L - PRETO - 220V;4
60010006;VEGA R500B2;EXPOSITOR REFRIGERADOR VEGA R500B2 PORTA DE VIDRO PERFIL PVC 500L - BRANCO - 220V;0
60010007;VEGA R500P1;EXPOSITOR REFRIGERADOR VEGA R500P1 ALL BLACK PORTA DE VIDRO PERFIL PVC 500L - PRETO - 127V;0
60010008;VEGA R500B1;EXPOSITOR REFRIGERADOR VEGA R500B1 PORTA DE VIDRO PERFIL PVC 500L - BRANCO - 127V;0
60010009;STYLUS C500P2;EXPOSITOR CERVEJEIRA STYLUS C500P2 ALL BLACK PORTA DE VIDRO PERFIL OCULTO 500L - PRETO - 220V;13
60010010;STYLUS C500B2;EXPOSITOR CERVEJEIRA STYLUS C500B2 PORTA DE VIDRO PERFIL OCULTO - BRANCO 500L - 220V;0
60010011;STYLUS C500P1;EXPOSITOR CERVEJEIRA STYLUS C500P1 ALL BLACK PORTA DE VIDRO PERFIL OCULTO 500L - PRETO - 127V;0
60010012;STYLUS C500B1;EXPOSITOR CERVEJEIRA STYLUS C500B1 PORTA DE VIDRO PERFIL OCULTO 500L - BRANCO - 127V;2
60010013;STYLUS R500P2;EXPOSITOR REFRIGERADOR STYLUS R500P2 ALL BLACK PORTA DE VIDRO PERFIL OCULTO 500L - PRETO - 220V;0
60010014;STYLUS R500B2;EXPOSITOR REFRIGERADOR - PORTA DE VIDRO 500L - CVB500 - BRANCO - 220V - STYLUS;0
60010015;STYLUS R500P1;EXPOSITOR REFRIGERADOR STYLUS R500P1 ALL BLACK PORTA DE VIDRO PERFIL OCULTO 500L - PRETO - 127V;0
60010016;STYLUS R500B1;EXPOSITOR REFRIGERADOR STYLUS R500B1 PORTA DE VIDRO PERFIL OCULTO 500L - BRANCO - 127;2
60010017;STYLUS C200P2;EXPOSITOR CERVEJEIRA STYLUS SLIM C200P2 PORTA DE VIDRO PERFIL OCULTO 200L - PRETO - 220V;5
60010018;STYLUS C180P2;EXPOSITOR MINI CERVEJEIRA STYLUS C180P2 PORTA DE VIDRO PERFIL OCULTO 180L - PRETO - 220V;0
60010019;STYLUS C200P1;EXPOSITOR CERVEJEIRA STYLUS SLIM C200P1 PORTA DE VIDRO PERFIL OCULTO 200L - PRETO - 127V;2
60010020;STYLUS C180P1;EXPOSITOR MINI CERVEJEIRA STYLUS C180P2 PORTA DE VIDRO PERFIL OCULTO 180L - PRETO - 110V;0
60010021;VEGA FV500P2;EXPOSITOR FREEZER VERTICAL VEGA FVE500P2 PORTA DE VIDRO PERFIL PVC 500L - PRETO - 220V;0
60010022;VEGA FV500P1;EXPOSITOR FREEZER VERTICAL VEGA FVE500P2 PORTA DE VIDRO PERFIL PVC 500L - PRETO - 127V;0
60010023;STYLUS C500P2I;EXPOSITOR CERVEJEIRA STYLUS C500P2 ALL BLACK PORTA DE VIDRO PERFIL OCULTO 500L - PRETO - 220V ? IN;0
60010024;STYLUS S SLIM C150P2;EXPOSITOR CERVEJEIRA STYLUS S-SLIM CxxxP2 PORTA DE VIDRO PERFIL OCULTO XXXL - PRETO - 220V;0
60010025;ISIS R500P2;REFRIGERADOR ISIS R500P2 ALL BLACK PORTA SÓLIDA 500L - PRETO - 220V;0
60010026;ISIS R500B2;EXPOSITOR REFRIGERADOR VEGA R500B2 PORTA SÓLIDA 500L - BRANCO - 220V;0
60010027;ISIS R500P1;EXPOSITOR REFRIGERADOR VEGA R500P2 ALL BLACK PORTA SÓLIDA 500L - PRETO - 127V;0
60010028;ISIS R500B1;EXPOSITOR REFRIGERADOR VEGA R500B2 PORTA SÓLIDA 500L - BRANCO - 127V;0
60010029;STYLUS SLIM C200P1;EXPOSITOR CERVEJEIRA STYLUS SLIM C200P1 PORTA DE VIDRO PERFIL OCULTO 200L - PRETO - 127V;0
60010030;VEGA FV500B2;FREEZER VERTICAL VEGA FV500B2 PORTA DE VIDRO PERFIL PVC 500L - BRANCO - 220V;1
60010031;VEGA FV500B1;FREEZER VERTICAL VEGA FV500B1 PORTA DE VIDRO PERFIL PVC 500L - BRANCO - 127V;0
60010032;ISIS FV500P2;FREEZER VERTICAL ISIS FV500P2 PORTA SÓLIDA 500L - PRETO - 220V;2
60010033;ISIS FV500B2;FREEZER VERTICAL ISIS FVI500B2 PORTA SÓLIDA 500L - BRANCO - 220V;0
60010034;ISIS FV500P1;FREEZER VERTICAL ISIS FVI500P1 PORTA SÓLIDA 500L - PRETO - 127V;0
60010035;ISIS FV500B1;FREEZER VERTICAL ISIS FVI500B1 PORTA SÓLIDA 500L - BRANCO - 127V;0
60010036;ISIS C500P2;CERVEJEIRA ISIS CS500P2 PORTA SÓLIDA 500L - PRETO - 220V;2
60010037;ISIS C500B2;CERVEJEIRA ISIS CS500B2 PORTA SÓLIDA 500L - BRANCO - 220V;0
60010038;ISIS C500P1;CERVEJEIRA ISIS CS500P1 PORTA SÓLIDA 500L - PRETO - 127V;0
60010039;ISIS C500B1;CERVEJEIRA ISIS CS500B1 PORTA SÓLIDA 500L - BRANCO - 127V;0
60010040;ISIS R500P1;REFRIGERADOR ISIS R500P1 PORTA SÓLIDA PERFIL PVC 500L - PRETO - 127V;0
600100O1;VEGA C500P2 AD;EXPOSITOR CERVEJEIRA VEGA C500P2 PORTA DE VIDRO PERFIL PVC 500L - PRETO - 220V;0
600100O7;VEGA R500P1 AD;EXPOSITOR REFRIGERADOR VEGA R500P1 ALL BLACK PORTA DE VIDRO PERFIL PVC 500L - PRETO - 127V;0
